sim,gate,omp,ctrl,tgt,qubits,gate_name,t_avg,t_ratio,kernel
LightningOMPBinStream,CNOT,1,2,18,30,CNOT,720.738,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,18,30,CNOT,192.244,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,18,30,CNOT,79.7256,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,18,30,CNOT,77.5394,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,19,30,CNOT,725.701,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,19,30,CNOT,193.586,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,19,30,CNOT,77.7934,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,19,30,CNOT,75.8415,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,20,30,CNOT,710.338,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,20,30,CNOT,195.566,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,20,30,CNOT,78.6232,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,20,30,CNOT,76.9463,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,21,30,CNOT,726.967,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,21,30,CNOT,197.741,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,21,30,CNOT,79.6258,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,21,30,CNOT,76.7663,1/1000,AVX512
